Stock,RawStock,Horizon,Tag,Entry,Qty,Risk,RSI,Vol vs 50d,EqSL,EqT1,EqT2,EqT3,EqT4,EqT5,Opt,Prem,PT1,PT2,PT3,Score
RADICO (↑),RADICO,Pre-Breakout,💥 Pre-Breakout Coil,4499.0,22,2426.6,71.6,0.75,4388.7,4655.4,4768.9,4925.3,5151.1,5489.2,N/A (Cash),-,-,-,-,8
EXIDEIND (↑),EXIDEIND,Intraday,🚀 Volume Breakout (⭐ 2x Size),490.0,204,2652.0,71.4,1.58,477.0,511.2,526.8,548.0,578.3,623.3,490 CE,18.05,31.3,43.2,61.5,8
SAIL (↑),SAIL,Pre-Breakout,💥 Pre-Breakout Coil,176.58,566,2875.28,71.4,0.58,171.5,182.8,187.4,193.6,202.3,215.3,175 CE,5.81,10.0,13.8,19.4,8
APLAPOLLO (↑),APLAPOLLO,Pre-Breakout,💥 Pre-Breakout Coil,1970.0,50,2375.0,70.7,0.61,1922.5,2028.5,2071.9,2130.4,2213.3,2335.7,N/A (Cash),-,-,-,-,8
COCHINSHIP (↑),COCHINSHIP,Intraday,🚀 Volume Breakout (⭐ 2x Size),1519.7,65,1878.5,70.4,1.65,1490.8,1566.2,1600.5,1647.1,1713.4,1811.9,N/A (Cash),-,-,-,-,8
RITES (↑),RITES,Pre-Breakout,💥 Pre-Breakout Coil,234.24,426,2913.84,64.5,0.3,227.4,241.7,247.4,254.8,265.2,280.2,N/A (Cash),-,-,-,-,8
CANBK (↑),CANBK,Pre-Breakout,💥 Pre-Breakout Coil,131.95,757,2081.75,59.1,0.79,129.2,134.9,137.1,140.0,144.1,149.9,130 CE,3.34,5.6,7.6,10.4,8
ASIANPAINT (↑),ASIANPAINT,Swing,🔄 Breakout Retest,2735.0,36,2502.0,56.7,0.9,2665.5,2843.5,2910.6,3019.1,3194.7,3478.8,2750 CE,52.72,121.7,177.4,278.8,8
MPHASIS (↑),MPHASIS,Pre-Breakout,💥 Pre-Breakout Coil,2475.0,40,3468.0,54.2,0.99,2388.3,2568.1,2638.9,2732.0,2861.2,3048.9,2500 CE,64.47,118.0,169.9,249.1,8
ENGINERSIN (↑),ENGINERSIN,Pre-Breakout,💥 Pre-Breakout Coil,240.6,207,1428.3,62.3,0.45,233.7,248.4,254.2,262.0,272.9,288.8,N/A (Cash),-,-,-,-,7
