Stock,RawStock,Horizon,Entry,EntryZone,RSI,EqSL,EqT1,EqT2,EqT3,EqT4,EqT5,Opt,Prem,PT1,PT2,PT3,PT4,PT5,OptSL,Score,Tag
NIFTY 50 (Call),NIFTY,Intraday,24252.0,₹24250.2 - ₹24253.8 (🎯 ₹24252.0),69.0,24243.1,24259.1,24266.2,24273.4,24280.5,24287.6,24250 CE,171.39,175.2,179.0,182.9,186.9,190.8,166.7,10,Index 5m Scalp
BANK NIFTY (Call),BANKNIFTY,Intraday,57761.95,₹57754.9 - ₹57769.0 (🎯 ₹57761.9),73.4,57726.9,57790.0,57818.1,57846.1,57874.2,57902.3,57800 CE,340.85,355.2,370.0,385.1,400.6,416.5,323.4,10,Index 5m Scalp
